English,Jinghpaw,Evaluation,Fine-grained evaluation,Error severity,Corrected Jinghpaw translation
"In essence, the Renaissance made a significant change in the approach to learning and the dissemination of knowledge.","Madung tsun ga nga yang, Renaissance ngu ai Greek hpaji myit sawn ai lam gaw sharin hkaja na matu shani sa wa ai ladat hte hpaji byeng nya hpe chyam bra hkra garan kachyan ai lam hta kaba ai dandawng ai galai shai ai lam hpe galaw ya wa sai.",,,,
"Unlike other primates, hominids no longer use their hands in locomotion or bearing weight or swinging through the trees.","Laga masha ni zawn nre, hominids ni gaw shara htawt ai dai nrai lai ai hpe bai ai dai nrai hpun lung ai hta shanhte lata hpe nlang mat ai.",,,,
"The chimpanzee's hand and foot are similar in size and length, reflecting the hand's use for bearing weight in knuckle walking.","Chimpanzee a lata hte lagaw ni gaw maren sha re ngut nna, lamhkawm ai ni lata galaw ai ni yawng gaw bung ai re.",,,,
"The human hand is shorter than the foot, with straighter phalanges.",Shinggyim masha a lata gaw lagaw hta grau kadun ai. Lagaw nra gaw grau galu ai majaw re.,,,,
Fossil hand bones two million to three million years old reveal this shift in specialization of the hand from locomotion to manipulation.,Shaning sen lahkang matsum daram nga ai dai nlung bum hpe htawt ai ka na manu ginsup ai de tsit wa ai hpe madun wa ai.,,,,
Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting.,Nkau masha ni kam sham ai lam gaw masha ta hte galaw nna kaja ai zawn re hkra shamau ya ai yupmang ni law law wa hpe hkrum katut ai lam gaw grai hkyi ba shangun chye ai.,,,,
The main reason for this phenomenon is the result of the lucid dreams expanding the length of time between REM states.,Ndai mabyin masa a madung madi madun ai lam gaw REM ginra ni lapran dan leng ai yupmang ni aten nau la wa ai mahtai a majaw re.,,,,
"With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.","Lana mi REMs nkau mi hte rau, ndai mungdaw hta nang gaw teng sha yup pyaw ai ngu ai lam, manghkang langai byin na matu aloi hte nlu ai hpa hparan kau lu ai mahkrum madup lu mai ai.",,,,
This is just as exhausting as if you were to wake up every twenty or thirty minutes and watch TV.,Nang yup rawt ai hte minit hkun (sh) sumshi darm TV yu ai rai yang dai lam gaw pu ba shangun ai lam re.,,,,
The effect is dependent on how often your brain attempts to lucidly dream per night.,Dai akyu ara gaw na bawnu lana mi hta jahkring hkring dan dan leng leng re nna gara hku yup mang mu ai hta mahta nga ai.,,,,
"Things did not go well for the Italians in North Africa almost from the start. Within a week of Italy's declaration of war on June 10, 1940, the British 11th Hussars had seized Fort Capuzzo in Libya.","Italy na a dingda Africa kaw bungli galaw ai nnan hta nloi ai. Shaning 1940 shata man hku 10 ya hta gasat na hpe shana ai shaloi, British ni a 11th Hussars gaw Libya kaw na Fort Capuzzo hpe dang la kau ai.",,,,
"In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.","Bardia sinpraw maga kaw na makoi hkap ai shara langai hta, Itali myu sha nambat shi hpyen dap a jak ninghkring Du daju wa Lastucci hpe Inglik ni rim da ma ai.",,,,
"On June 28, Marshal Italo Balbo, the Governor-General of Libya and apparent heir to Mussolini, was killed by friendly fire while landing in Tobruk.","Shata man hkru 28 ya hta, Libya a Munggyi Du daju, Marshal Italo Balbo hte Mussolini a hkring htawng dagraw na wa gaw Tobruk de pyenli pyen yu wa ai ten tinang hpyen dap na lak nak hte si mat wa sai.",,,,
"The modern sport of fencing is played at many levels, from students learning at a university to professional and Olympic competition.","Zauhkyen a prat dep ginsup hpan hpe gaw, jawng ma ni dakkasu kaw sharin la ai kaw na shabrai sha ai madang hte Olympic shingjawng poi ni kaw du hkra madang grai law ni hta ginsup nga ai re.",,,,
"The sport is primarily played in a duel format, one fencer dueling another.",Zauhkyen ginsup ai madung gaw langai hte langai gasat shingjawng ai hpan re.,,,,
Golf is a game in which players use clubs to hit balls into holes.,Gawp ginsup ai hta ginsup ai ni gaw gayat ai shingna hpe lang nna bawlung hpe hku kata de shang hkra gayat ra ai.,,,,
"Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth.",Ginsup masha ni gaw ningshawng hku hta hpang nna ayan na hku sha shi matsat hta shangut ai hte hku shi matsat bang ginsup ai gaw ayan na shara shagu ginsup ai lam re.,,,,
"The player who takes the fewest strokes, or swings of the club, to complete the course wins.",Kayat masat shau htum lu ai ginsup masha kalap hpung a galai shai ai lam gaw sharin hpawng hpe awng dang hkra shangut shakre na matu re.,,,,
"The game is played on grass, and the grass around the hole is mown shorter and called the green.","Ndai game hpe tsingdu hta ginsup ai, hku grup yin na dai tsingdu pa ni hpe kadun dun re tsing shawt ai hte dai hpe atsit ngu tsun ai.",,,,
Perhaps the most common type of tourism is what most people associate with traveling: Recreation tourism.,Mungkan buhkawng hpan law malawng gaw mash ni buhkawng ai hte seng nna ginrun dik htum ai lam ni re na re. Munkan buhkawm ai lam hpe n-nan bai galaw shapraw ai lam.,,,,
This is when people go to a place that is very different from their regular day-to-day life to relax and have fun.,Ndai ten gaw shinggyim masha ni shanhte shani shagu hkawm sa taw ai lam kaw na hkring sa (sh) ban sa la nna pyaw chyai na matu nbung ai shara de sa ma ai.,,,,
"Beaches, theme parks and camp grounds are often the most common places frequented by recreational tourists.","Panglai hka kau ni, nampan sun ni hte dap dabang lamu ga ni gaw kalang marang ban sa ai lam hpe madun da ai mungkan hkawm sa masha ni jahkring hkring sa ai ginra re.",,,,
If the objective of one’s visit to a particular place is to get to know its history and culture then this type of tourism is known as cultural tourism.,Lama dai masha a hkawm sa ai yaw shada lam gaw labau hte htunghking hpe chye mayu ai majaw shara mi de hkawm sa ai rai yang dai hkawm sa ai lam gaw htunghking hte seng ai bu hkawm bungli magam rai nga ai.,,,,
Tourists may visit different landmarks of a particular country or they may simply opt to focus on just one area.,Maigan bu hkawm masha ni gaw mungdan langai a nbung ai ginra shagu de sa du hkawm na re (sh) shanhte gaw dai shara langai kaw sha sa du mayu taw nga ma ai.,,,,
"The Colonists, seeing this activity, had also called for reinforcements.","Mung maden je ai ni gaw, ndai bungli hpe yu nna hpyen lahkawn jat na matu ngu mung tsun ma ai re.",,,,
"Troops reinforcing the forward positions included the 1st and 3rd New Hampshire regiments of 200 men, under Colonels John Stark and James Reed (both later became generals).",Hpyen n-gun jat ai hku na Dap jum up yan re ai Yawhan Stark hte James Reed (hpang de lahkawng yan du daju tai wa ma ai) a npu na masha 200 dap dung kaba re ai Nem Hampshire 1 hte 3 lawm ai hpyen hpung ni shawng lam de rawt sa wa ma ai.,,,,
Stark's men took positions along the fence on the north end of the Colonist's position.,Stark a hpyen la ni gaw Mung maden hpyen ni shara la da ai dingdung jahtum maga na nhpan hku shara la bang wa ma ai.,,,,
"When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach.","Hka hpungrawt nem mat ai a majaw Mystic hka nu kaw na hpang na zundawn a sinpraw dingdung maga du hkra gang hkat mat ai aten hta shanhte gaw nhpan hpe nlung tawng hte galaw da ai shakum hte dingdung maga, panglai hka kau mayan de du hkra lawan ladan matut kau ma ai.",,,,
Gridley or Stark placed a stake about 100 feet (30 m) in front of the fence and ordered that no one fire until the regulars passed it.,"Gridley shing nrai, Stark gaw nhpan a shawng kaw pe 100 (meter 30) daram nga ai hpundung hpe tawn da nna, dinggrin hpyen dap ni n lai dingsa kadai n-gap na matu matsun ai.",,,,
The American plan relied on launching coordinated attacks from three different directions.,Amerikan masing gaw nbung ai lam mahkrun masum kaw na jawm gasat ai mahkyen lu hpaw ai hta shamyet nga ai.,,,,
"General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements.",Du daju John Cadwalder gaw hpyen n-gun jat ai lam hpe hkum pat jahkring na matu Bordentown na British maren sin dap hpe lam galai gumlang gasat na matu tsun shabra na re.,,,,
"General James Ewing would take 700 militia across the river at Trenton Ferry, seize the bridge over the Assunpink Creek and prevent any enemy troops from escaping.","Du daju James Ewing gaw mung shawa hpyen 700 hpe hka nu a kaga maga e nga ai Trenton Ferry ngu ai shara de woi awn nna, Assunpink Creek hka gai ntsa na mahkrai hpe zing la nhtawm hpyen wa a hpung ni n mai hprawng na matu shingdang na re.",,,,
"The main assault force of 2,400 men would cross the river nine miles north of Trenton, and then split into two groups, one under Greene and one under Sullivan, in order to launch a pre-dawn attack.","Trenton a dingdung maga mile 9 hta nga ai hka nu hpe hpyen n-gun 2400 gaw lai wa nna uhpung lahkawng garan mat ai. Uhpung langai mi gaw Greene ningshawng ai npu hta rai nna langai mi gaw Sullivan a ningshawng ai npu kaw e rai nga ai, shanhte gaw nhtoi htoi jang gasat na matu shajin nga ai.",,,,
"With the change from the quarter to the half mile run, speed becomes of much less importance and endurance becomes an absolute necessity.","Kagat ai lam hpe deng htam mali na htam mi sha re ai kaw na deng chyen mi rai mat ai a majaw, ndai kagat ai lam hta ba lu hkam ai lam gaw chyang shadang hta grau ahkyak mat wa ai.",,,,
"Of course a first-class half-miler, a man who can beat two minutes, must be possessed of a fair amount of speed, but endurance must be cultivated at all hazards.","Rai sa madang tsaw mai daw mi, minit lahkawng hte lu galaw ai masha, gaw grai lawan na re, raitim da hkam ai gaw hkrit ra ai ni yawng hpe yen kau na re.",,,,
"Some cross country running during the winter, combined with gymnasium work for the upper part of the body, is the best preparation for the running season.",Nshung ta laman hkrup ai hku lagat ai nkau mi gaw hkum hkrang lahta de na matu ginsup dum hta bai gayau ginsup ai lam gaw lagat shingjawng numdaw a matu kaja dik ai mahkyen re nga ai.,,,,
"Proper nutritional practices alone cannot generate elite performances, but they can significantly affect young athletes' overall wellness.",Htap htuk malu masha shaman shakyang ai lam ni sha gaw ningtawn ai hkrang shala ai lam hpe shabyin ya lu ai nre rai timung shanhte gaw asak kaji ai ginsup ninghkrin a guji guyang gaja na lam hpe alak mi re na akyu jaw lu ai re.,,,,
"Maintaining a healthy energy balance, practicing effective hydration habits, and understanding the various aspects of supplementation practices can help athletes improve their performance and increase their enjoyment of the sport.","Hkamja ngun atsam hpe sadi ai, hkum hkrang kaw hka dat law nga matu sadia ai, ngut nna tatup galaw ni hpa atsawm sha chye na ai gaw ginsaup ai ni hpe shanhte na galaw ai lam hpe grau kaja shangu nna galaw ai bungli hpe grau manu shadan wa na re.",,,,
"Middle distance running is a relatively inexpensive sport; however, there are many misconceptions regarding the few pieces of equipment required to participate.",Ka-ang sumtsan wunkat manu nhpu ai hku na ginsup hpan langai re; raitim dai hta e shang lawm na matu hkinghku nkau mi shakap lang ra ai hte seng na chye na shut ai lam ni grai nga ai.,,,,
"Products can be purchased as needed, but most will have little or no real impact on performance.","Gunrai ni hpe ra ai zawn mai htet la mai ai, raitim law malawng gaw kaji mi sha re nna tatut bungli hta dai ram masan nsa ma ai.",,,,
Athletes may feel that they prefer a product even when it provides no real benefits.,Ginsup ninghkring ni gaw shahte ra yang a myet nlu jaw tim dai gunrai hpe mahtang grau ra ma ai.,,,,
The atom can be considered to be one of the fundamental building blocks of all matter.,Bawm shingmun gaw hkrang rai yawng mayawng hpe shachyaw ai lam hta npawt madung re ngu sawn la mai nga ai.,,,,
"Its a very complex entity which consists, according to a simplified Bohr model, of a central nucleus orbited by electrons, somewhat similar to planets orbiting the sun - see Figure 1.1.","Ndai gaw grai shuk ai mabyin rai nga nna dai kaw gaw electron ni e shinggrup tawn ai ka-ang nucleus hpe chye na loi hkra galaw da ai Bohr ladat, gintawng ni jan hpe shinggrup nga hte bung ai zawn re ai lam ni mung lawm nga ai. Sumla 1.1 hpe yu u.",,,,
The nucleus consists of two particles - neutrons and protons.,Nucleus hta neutrons hte protons ngu ai ayun ayaw lahkawng nga ai.,,,,
Protons have a positive electric charge while neutrons have no charge. The electrons have a negative electric charge.,Neutron ni hta hpa dat la mung nnga ai shaloi proton kaw wan dat nga ai. Electron kaw gaw wan dat yi nga ai.,,,,
"To Check the victim, you must first survey the scene to ensure your safety.","Tsim yam hkrum masha hpe jep yu na matu, nang gaw na shimlum lam hpe shateng lu na matu mabyin hpe shawng jep mada yu ra na re.",,,,
You need to notice the victim's position as you approach him or her and any automatic red flags.,Tsinyam hkrum ai wa hpe sa shani ai shaloi shi a shara masa hte shi hkrai shi byin pru wa ai hkrit hpa kumla masat dawnghkawn ni hpe mung sadi ra ai.,,,,
"If you get hurt trying to help, you may only serve to make matters worse.","Lama na nang garum na matu shakut ai shaloi hkala nba hkrum la yang gaw, manghkang hpe sha grau kaba shangun na re.",,,,
"The study found that depression, fear and catastrophising mediated the relationship between pain and disability in lower back pain sufferers.","Myit daw ai lam, hkrit ai lam hte tsin yam ai gaw mashi lawu machyi hkrum ai ni hta daw hten ai hte machyi ai lapran na matut mahkai lam hpe htinggram ya ai nga sawk tam ni hkaja da ma ai.",,,,
